SAMPLE_ID,HAND1,HAND2,MEIS1,MEIS2,MEIS3,MIXL1,EOMES,GATA4,GATA5,OSR1,LMO2,GATA2,TAL1,WT1,MSLN,NF2,BAP1,TP53,BRCA1,YY1,TBP,OTX2,MITF,GAPDH,ATP5PB,GUSB
TCGA-SH-A7BH,2305.63,3.4632,19.0476,117.749,67.5325,0,3.4632,2329.87,10.3896,16.4502,249.351,25.974,25.974,55.4113,11.2554,1517.75,6151.52,1647.62,451.948,309.957,263.204,0,439.827,71387,3766.23,4489.18
TCGA-SH-A9CT,0.4575,24.2452,132.662,865.05,129.918,0.9149,8.6917,1812.9,7.7768,137.237,218.207,77.3102,54.4373,1636.32,12288.7,661.025,1796.43,1141.81,295.06,1060.38,333.028,0,427.264,38187.1,2014.64,1497.26
TCGA-SH-A9CU,0.678,206.102,461.017,575.593,240,0,5.4237,454.237,1160.68,82.7119,138.983,33.8983,63.7288,4484.07,31198.6,862.373,3002.71,2410.85,210.169,928.814,291.525,0,236.61,63197.3,1908.47,1762.03
TCGA-TS-A7OU,0,0,126.937,2766.64,119.262,0,13.5793,453.432,236.753,74.9815,582.14,93.8745,28.3395,1088.71,72702.6,1293.58,334.76,1202.66,80.8856,1451.81,226.125,0,124.576,64058.5,3257.86,1509.08
TCGA-TS-A7OY,0,103.675,252.506,799.908,282.456,1.3823,30.872,18.4311,71.4203,371.386,720.193,99.5277,70.4988,1206.31,5321.51,376.915,2089.62,1408.59,257.113,775.947,296.74,0,333.602,98991.4,3512.96,2024.65
TCGA-TS-A7OZ,1.1919,144.219,864.124,2164.08,1216.92,0.7946,21.4541,291.22,178.784,835.519,257.052,719.905,235.598,2852.6,17843.5,270.163,1552.64,3239.97,382.598,843.067,482.717,0,234.009,59087.4,1389.35,1596.74
TCGA-TS-A7P0,0.4523,232.926,218.453,514.699,507.463,0.9046,53.8218,0,342.831,80.0543,271.37,25.7802,103.573,2725.92,23266.8,636.816,3375.4,2681.14,107.191,791.949,278.607,0,365.898,77775.7,3162.37,2303.48
TCGA-TS-A7P1,0,28.0374,99.0654,2993.93,168.224,0.9346,68.6916,1286.92,614.019,21.4953,125.701,414.486,4.2056,1606.07,21561.2,269.159,342.523,2160.75,323.365,1252.34,341.122,0,62.6168,157615,1213.08,1499.53
TCGA-TS-A7P3,33.0306,110.713,625.134,2154.33,601.278,0,11.0102,237.942,130.287,510.75,452.029,218.369,178.61,1304.71,2595.96,801.908,1360.98,1302.87,158.21,1209.9,261.798,1.2234,235.496,35696.9,2105.39,1297.37
TCGA-TS-A7P6,2.3627,481.394,109.864,480.803,1467.22,0,34.2587,8.86,278.204,190.786,336.09,326.639,14.7667,1106.91,28136.4,495.57,2404.61,2639.69,258.122,891.908,194.33,0,70.2894,134458,1970.47,2348.49
TCGA-TS-A7P7,0.5322,720.596,450.24,166.046,857.371,0,5.8542,77.7009,5.322,21.8201,331.559,100.053,38.8505,11.7084,1349.65,585.418,668.441,3568.92,212.879,958.489,183.076,0,47.8978,84756.8,2917.51,1507.18
TCGA-TS-A7P8,0,55.7007,360.065,607.734,87.5296,0.4973,37.2996,870.82,1.9893,143.23,363.546,86.0377,76.0911,2344.4,5993.79,462.017,1932.61,2177.3,214.348,972.773,258.113,0,306.354,74750.8,3252.52,1646.65
TCGA-TS-A7PB,0,25.861,291.931,1952.01,95.4868,0.4973,15.9145,271.043,119.856,409.797,203.407,53.214,17.4064,1730.2,81902.8,113.391,143.727,1689.42,112.396,1157.78,142.733,3.4813,84.5456,94787,1750.09,1736.17
TCGA-TS-A8AF,8.6101,62.3206,150.471,1220.17,960.23,0,35.2604,240.672,477.245,145.142,172.612,157.852,112.751,5437.06,14909.4,1037.72,635.096,2820.42,246.002,988.93,256.253,0,114.801,71078.7,1217.71,1350.14
TCGA-TS-A8AI,1.4318,21.8345,167.159,3667.11,414.497,0,12.528,2067.11,114.541,47.9642,209.396,131.723,40.8054,1042.68,8539.42,183.624,414.497,3501.74,413.423,1046.62,288.859,0,225.861,86761.2,1757.14,1351.23
TCGA-TS-A8AS,0,4.4488,218.487,1500.74,92.437,0.4943,35.5907,92.437,213.544,779.041,153.238,29.1646,63.2724,2385.57,34159.2,820.563,886.802,1548.69,22.2442,1454.77,217.004,0,135.937,33544.7,2931.29,1304.99
TCGA-TS-A8AV,1.2981,3.8944,335.353,160.104,373.864,0.4327,334.055,82.2155,24.6646,89.5716,1099.09,327.997,112.938,294.245,3549.55,1119,1305.5,1589.36,250.541,1202.51,219.818,0,280.831,76280.8,2733.45,2310.69
TCGA-TS-A8AY,0,228.87,238.784,1603.39,164.218,0,42.6708,271.972,572.823,222.836,108.186,17.2407,31.4643,8188.91,4674.82,1295.21,2645.59,1260.73,240.939,813.761,182.321,0,192.234,67182.3,2352.06,1390.03
TCGA-UD-AABY,1.0564,48.5928,378.179,1371.69,1200.03,1.0564,3.6973,130.461,172.716,51.2337,185.392,109.334,39.0855,1093.34,5565.99,1063.23,1472.57,2047.24,82.3965,973.44,277.824,1.0564,540.331,43647.4,1483.66,1487.89
TCGA-UD-AABZ,0,59.2066,207.618,1574.9,135.78,0,3.1577,3747.39,747.582,93.1518,182.356,10.2625,26.8403,1498.32,14901.1,1068.88,341.82,4611.01,495.757,547.859,349.714,0,56.8384,90201.7,2616.14,1034.93
TCGA-UD-AAC1,0,1174.12,276.449,797.545,249.056,0,12.5945,897.986,724.497,388.854,256.297,21.7255,4.0932,1105.48,24990.6,1593.52,2176.01,1863.67,221.663,804.472,255.353,0,486.461,95726.1,2151.14,3635.39
TCGA-UD-AAC4,0,113.488,92.6266,3388.38,121.416,0.8345,9.5964,107.647,201.525,292.483,244.084,21.6963,35.0479,778.981,13044.1,213.208,819.87,4138.99,761.457,1175.77,356.738,0,118.912,120932,3244.02,1550.45
TCGA-UD-AAC5,0,34.0064,256.111,2283.21,261.955,0.5313,13.2837,3823.59,246.546,43.5707,152.497,32.4123,19.1286,1476.09,6378.85,255.048,376.195,1458.02,510.096,1171.63,196.599,0,164.187,122834,2250.27,1115.3
TCGA-UD-AAC6,0,19.5543,184.04,1657.51,154.134,0.5751,22.4299,410.64,628.037,79.9425,472.753,21.8548,6.3264,1886.41,52846.6,299.64,541.193,3121.78,392.236,1193.96,415.241,0,198.994,104407,3746.37,1923.22
TCGA-UD-AAC7,0,19.1327,62.0748,1321,163.265,1.7007,49.7449,250.85,378.401,53.5714,216.412,41.6667,16.5816,202.806,12688.8,545.493,985.544,1295.92,375.85,1278.06,241.497,0,100.765,165878,2175.6,1522.53
TCGA-UT-A88C,0.4263,96.7604,277.92,1767.69,96.3342,0.4263,77.1526,1357.63,636.829,152.174,327.792,94.6292,80.1364,1923.7,55932.2,1053.71,489.77,1122.76,196.078,1450.55,256.181,1.2788,233.589,34841,2115.09,2223.79
TCGA-UT-A88D,0.5758,38.0004,306.882,1589.68,990.314,0.5758,115.729,154.305,344.883,178.487,312.64,78.8797,57.5764,457.157,15898,766.918,925.253,2158.54,202.669,979.951,303.428,0,103.638,44407,1290.86,1399.68
TCGA-UT-A88E,0,21.6664,60.8178,2844.75,74.1217,0,26.2277,357.305,80.2035,71.8411,109.472,1585.44,63.0985,39.9117,39161.4,72.6013,129.238,1366.12,122.776,752.621,211.722,0,134.559,140367,2632.27,2756.57
